Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
magnus_keizer_1997,models_cellml/calcium_dynamics/magnus_keizer_1997.cellml,calcium_dynamics,22,3,19,3,0,0,0,115,73
magnus_keizer_1998,models_cellml/calcium_dynamics/magnus_keizer_1998.cellml,calcium_dynamics,60,13,47,13,0,0,0,295,149
marhl_haberichter_brumen_heinrich_2000,models_cellml/calcium_dynamics/marhl_haberichter_brumen_heinrich_2000.cellml,calcium_dynamics,10,3,7,3,0,0,0,59,28
marhl_schuster_brumen_heinrich_1997,models_cellml/calcium_dynamics/marhl_schuster_brumen_heinrich_1997.cellml,calcium_dynamics,14,2,12,2,0,0,0,66,31
mckenzie_sneyd_1998,models_cellml/calcium_dynamics/mckenzie_sneyd_1998.cellml,calcium_dynamics,8,3,5,1,2,0,0,40,26
mears_sheppard_atwater_rojas_bertram_sherman_1997,models_cellml/calcium_dynamics/mears_sheppard_atwater_rojas_bertram_sherman_1997.cellml,calcium_dynamics,30,5,25,5,0,0,0,121,67
michailova_mcculloch_2001,models_cellml/calcium_dynamics/michailova_mcculloch_2001.cellml,calcium_dynamics,117,45,72,45,0,0,0,391,213
michailova_2005,models_cellml/calcium_dynamics/michailova_2005.cellml,calcium_dynamics,117,36,81,36,0,0,0,402,217
mosekilde_lading_yanchuk_maistrenko_2001,models_cellml/calcium_dynamics/mosekilde_lading_yanchuk_maistrenko_2001.cellml,calcium_dynamics,18,6,12,3,3,0,0,67,33
nagerl_novo_mody_vergara_2000,models_cellml/calcium_dynamics/nagerl_novo_mody_vergara_2000.cellml,calcium_dynamics,13,4,9,4,0,0,0,66,27
noble_noble_2001,models_cellml/calcium_dynamics/noble_noble_2001.cellml,calcium_dynamics,84,20,64,20,0,0,0,305,150
noble_varghese_kohl_noble_1998_b,models_cellml/calcium_dynamics/noble_varghese_kohl_noble_1998_b.cellml,calcium_dynamics,95,25,70,25,0,0,0,364,180
noble_varghese_kohl_noble_1998_c,models_cellml/calcium_dynamics/noble_varghese_kohl_noble_1998_c.cellml,calcium_dynamics,106,26,80,26,0,0,0,403,205
plant_1981,models_cellml/calcium_dynamics/plant_1981.cellml,calcium_dynamics,20,5,15,5,0,0,0,50,34
puglisi_bers_2001,models_cellml/calcium_dynamics/puglisi_bers_2001.cellml,calcium_dynamics,92,17,75,17,0,0,0,326,158
