Model Name,File,Domain,All Domains,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
vilar_2006,models_cellml2/signal_transduction/vilar_2006.cellml,signal_transduction,signal transduction,7,6,1,6,0,0,0,59,16
wodarz_sierro_klenerman_2007_c,models_cellml2/immunology/wodarz_sierro_klenerman_2007_c.cellml,immunology,immunology,18,16,2,16,0,0,0,121,38
wilkins_sneyd_1998,models_cellml2/calcium_dynamics/wilkins_sneyd_1998.cellml,calcium_dynamics,calcium dynamics,4,2,2,2,0,0,0,24,18
wang_li_kuang_2007,models_cellml2/endocrine/wang_li_kuang_2007.cellml,endocrine,endocrine,8,2,6,2,0,0,0,50,24
tran_smith_loiselle_crampin_2009,models_cellml2/calcium_dynamics/tran_smith_loiselle_crampin_2009.cellml,calcium_dynamics,calcium dynamics,17,1,16,1,0,0,0,37,36
gonzalezheydrich_steingard_kohane_1994,models_cellml2/endocrine/gonzalezheydrich_steingard_kohane_1994.cellml,endocrine,endocrine,3,3,0,3,0,0,0,21,15
hunter_mcnaughton_noble_1975,models_cellml2/electrophysiology/hunter_mcnaughton_noble_1975.cellml,electrophysiology,electrophysiology,5,1,4,1,0,0,0,26,14
dougherty_wright_yew_2005,models_cellml2/calcium_dynamics/dougherty_wright_yew_2005.cellml,calcium_dynamics,calcium dynamics | signal transduction,23,7,16,7,0,0,0,150,63
magnus_keizer_1998,models_cellml2/calcium_dynamics/magnus_keizer_1998.cellml,calcium_dynamics,calcium dynamics | electrophysiology,60,13,47,13,0,0,0,295,149
magnus_keizer_1997,models_cellml2/calcium_dynamics/magnus_keizer_1997.cellml,calcium_dynamics,calcium dynamics | electrophysiology,22,3,19,3,0,0,0,115,73
faber_rudy_2000,models_cellml2/electrophysiology/faber_rudy_2000.cellml,electrophysiology,electrophysiology | excitation-contraction coupling,123,25,98,25,0,0,0,374,192
viswanathan_shaw_rudy_1999_a,models_cellml2/calcium_dynamics/viswanathan_shaw_rudy_1999_a.cellml,calcium_dynamics,calcium dynamics | electrophysiology,117,25,92,25,0,0,0,352,180
tolic_mosekilde_sturis_2000,models_cellml2/metabolism/tolic_mosekilde_sturis_2000.cellml,metabolism,metabolism | signal transduction,14,6,8,6,0,0,0,58,36
rong_2009b,models_cellml2/immunology/rong_2009b.cellml,immunology,immunology,6,5,1,5,0,0,0,46,22
gerard_2009,models_cellml2/circadian_rhythms/gerard_2009.cellml,circadian_rhythms,circadian rhythms,66,66,0,66,0,0,0,1070,322
rice_winslow_jafri_1999,models_cellml2/calcium_dynamics/rice_winslow_jafri_1999.cellml,calcium_dynamics,calcium dynamics,44,2,42,2,0,0,0,222,75
vilar_kueh_barkai_leibler_2002,models_cellml2/circadian_rhythms/vilar_kueh_barkai_leibler_2002.cellml,circadian_rhythms,circadian rhythms | gene regulation | signal transduction,25,9,16,9,0,0,0,103,42
vinnakota_rusk_palmer_shankland_kushmeric_2010_soleus,models_cellml2/metabolism/vinnakota_rusk_palmer_shankland_kushmeric_2010_soleus.cellml,metabolism,metabolism | ph regulation,545,32,513,32,0,0,0,859,547
lockwood_ewy_hermann_holford_2006,models_cellml2/PKPD/lockwood_ewy_hermann_holford_2006.cellml,PKPD,PKPD,10,3,7,3,0,0,0,32,25
lenbury_ruktamatakul_amornsamarnkul_2001_b,models_cellml2/endocrine/lenbury_ruktamatakul_amornsamarnkul_2001_b.cellml,endocrine,endocrine,5,5,0,5,0,0,0,33,21
skouibine_trayanova_moore_1999,models_cellml2/excitation-contraction_coupling/skouibine_trayanova_moore_1999.cellml,excitation-contraction_coupling,excitation-contraction coupling,22,7,15,7,0,0,0,58,30
cheng_brown_loeb_2000,models_cellml2/myofilament_mechanics/cheng_brown_loeb_2000.cellml,myofilament_mechanics,myofilament mechanics,21,7,14,7,0,0,0,103,62
aguda_b_1999,models_cellml2/cell_cycle/aguda_b_1999.cellml,cell_cycle,cell cycle,49,15,34,15,0,0,0,237,91
faville_pullan_sanders_smith_2008,models_cellml2/electrophysiology/faville_pullan_sanders_smith_2008.cellml,electrophysiology,electrophysiology,35,8,27,8,0,0,0,146,85
cui_kaandorp_2008,models_cellml2/signal_transduction/cui_kaandorp_2008.cellml,signal_transduction,signal transduction,64,29,35,29,0,0,0,307,110
tabak_toporikova_freeman_bertram_2007_a,models_cellml2/endocrine/tabak_toporikova_freeman_bertram_2007_a.cellml,endocrine,endocrine,15,4,11,4,0,0,0,69,39
wodarz_sierro_klenerman_2007_a,models_cellml2/immunology/wodarz_sierro_klenerman_2007_a.cellml,immunology,immunology,6,5,1,5,0,0,0,53,17
nazaret_2009,models_cellml2/metabolism/nazaret_2009.cellml,metabolism,metabolism,22,8,14,8,0,0,0,106,47
iber_maini_2002,models_cellml2/gene_regulation/iber_maini_2002.cellml,gene_regulation,gene regulation | immunology,34,16,18,16,0,0,0,116,46
huang_ferrell_1996,models_cellml2/signal_transduction/huang_ferrell_1996.cellml,signal_transduction,signal transduction,18,18,0,18,0,0,0,252,56
tran_smith_loiselle_crampin_2009_variant01,models_cellml2/calcium_dynamics/tran_smith_loiselle_crampin_2009_variant01.cellml,calcium_dynamics,calcium dynamics,15,1,14,1,0,0,0,35,34
cooling_hunter_crampin_2007,models_cellml2/signal_transduction/cooling_hunter_crampin_2007.cellml,signal_transduction,signal transduction,37,13,24,13,0,0,0,69,69
